explainability_method,comprehensiveness,sufficiency
random,0.026251844154471564,0.9286324577476723
laat,0.8672627404633128,0.2631794085315345
attention_rollout,0.3946865766533209,0.40361834708561994
deeplift,0.7701938628483196,0.17047079834578716
gradient_x_input,0.7683648500939231,0.1672801981948626
integrated_gradient,0.7329131086777002,0.17463710928982654
grad_attention,0.8846671787358468,0.1989277202460944
atgrad_attention,0.8157957009954261,0.251905599013385
