Explainer,prediction_split,decision_boundary,precision,recall,f1,auprc,no_predictions,average_number_of_predicted_tokens,evidence_span_token_recall,evidence_span_recall,precision@1,recall@1,precision@5,recall@5,precision@10,recall@10,precision@50,recall@50,precision@100,recall@100,entropy,kl_divergence,iou,attributions_sum_zero,run_id,comprehensiveness,sufficiency,Model,special_token_rate,decision_boundary_no_special,precision_no_special,recall_no_special,f1_no_special,auprc_no_special,average_number_of_predicted_tokens_no_special,evidence_span_token_recall_no_special,evidence_span_recall_no_special,precision@1_no_special,recall@1_no_special,precision@5_no_special,recall@5_no_special,precision@10_no_special,recall@10_no_special,precision@50_no_special,recall@50_no_special,precision@100_no_special,recall@100_no_special,iou_no_special,kl_divergence_no_special,ground_truth_special_token_rate
$x \nabla x$,all,0.016,29.95358800428407,40.12434241989459,34.30089942714734,27.43065439954669,4.6075085324232,477.9863481228669,55.32192541972258,69.88054607440962,50.51194539249146,14.155906264945001,28.80546075085324,40.36346245815399,18.61774744027304,52.17599234815877,5.59044368600682,78.33572453371592,3.13993174061433,87.99617407938786,0.7402580927991453,3.283878969435101,34.7219531410895,0.0,8sh57gfb,77.1919793343653,28.35262444411829,B$_{\text{Sup}}$,3.1058020477815704,1.6,25.86206896551717,43.75896700143451,32.51021495778484,27.125462062741008,603.7542662116041,58.94120526765383,72.66780432239295,50.85324232081911,14.251554280248685,29.044368600682596,40.69823051171688,18.737201365187715,52.51076040172167,5.5017064846416375,77.09230033476805,3.02901023890785,84.88761358201818,35.299638846566886,364.03263342201393,5.834528933524629
$a x \nabla x$,all,0.043,41.92355117139317,48.78048780487781,45.09283819578913,40.93820848591621,1.02389078498293,415.1877133105802,66.90605872094115,80.61717861127867,60.40955631399317,16.92969870875179,34.77815699658703,48.7326637972262,22.38907849829351,62.745098039215684,6.11604095563139,85.70062171209948,3.2713310580204698,91.67862266857962,0.2512526980778595,1.961202068518006,48.4310147436182,0.0,8sh57gfb,88.61985304810761,37.82456362303402,B$_{\text{Sup}}$,2.4914675767918086,4.3,41.80561203741341,49.163079866092545,45.18681318631626,40.23648261243067,419.62457337883956,67.38712486753366,80.7878270754408,60.40955631399317,16.929698708751793,34.8122866894198,48.78048780487805,22.286689419795223,62.45815399330464,5.955631399317406,83.45289335246294,3.160409556313993,88.57006217120995,48.54492652037467,238.36535486616194,5.834528933524629
$a$,all,0.038,28.80961613028294,35.53323768531786,31.8201284791627,26.561867910570047,13.31058020477815,440.1023890784983,51.0002618254671,64.78953356023996,44.19795221843003,12.38641798182687,25.05119453924914,35.10282161645146,16.79180887372013,47.05882352941176,5.36518771331058,75.17934002869441,2.99829351535836,84.02678144428502,0.502177352004413,2.69829448046736,34.16568137381018,0.0,uzdosmpj,69.66229094191242,68.55629398087464,B$_{\text{Sup}}$,29.59044368600682,3.8,34.01606425702798,40.506934481109326,36.97882558343727,31.392350020126443,424.91467576791814,57.67907268086052,73.12286689349247,48.634812286689424,13.629842180774748,28.56655290102389,40.0286944045911,18.941979522184297,53.08464849354376,5.535836177474403,77.57054041128647,2.9795221843003414,83.50071736011478,38.67591436267794,285.8133994474941,5.834528933524629
$x \nabla x$,all,0.021,33.8566195709051,30.94213295074112,32.33383308295912,26.01307880520719,9.38566552901023,326.10921501706486,47.1008414222211,63.31058020416346,46.245733788395896,12.960306073648969,26.996587030716718,37.82879005260641,18.22525597269624,51.07604017216643,5.57679180887372,78.14442850310857,3.08361774744027,86.41798182687708,0.7366273683644119,3.289609312582784,33.102721124060906,0.0,uzdosmpj,76.08619887220756,39.69498203068944,B$_{\text{Sup}}$,2.218430034129693,2.1,30.290456431535144,34.911525585843926,32.437236169242425,25.4191133061419,411.26279863481227,51.27289661388003,67.06484641573174,46.92832764505119,13.151602104256337,27.37201365187713,38.35485413677666,18.395904436860068,51.55428024868483,5.440273037542663,76.23146819703491,2.9914675767918086,83.83548541367767,33.567332830140195,364.1677895516127,5.834528933524629
$a x \nabla x$,all,0.05,36.6652305040929,40.69823051171669,38.57660924700798,34.26162516225291,2.2184300341296903,396.0750853242321,58.73570613083019,74.1894197945043,52.389078498293514,14.68197034911525,29.86348122866894,41.84600669536107,20.10238907849829,56.33668101386896,5.91467576791808,82.87900526064084,3.24914675767918,91.05691056910568,0.287504643936866,2.2465232505454296,41.7141398442226,0.0,uzdosmpj,78.71017966842754,53.649277976655384,B$_{\text{Sup}}$,14.77815699658703,5.0,38.69546055531054,41.98947871831639,40.27522935729881,35.079094111930424,387.2013651877133,60.280741489852474,75.27019340086476,53.92491467576792,15.112386417981828,31.194539249146757,43.71114299378288,20.870307167235495,58.48876135820181,5.870307167235495,82.25729316116691,3.1177474402730376,87.37446197991392,43.493882857985646,263.0271409902924,5.834528933524629
$a$,all,0.04,40.13953488372074,41.27211860353877,40.69794859652891,35.19154061766846,13.48122866894198,366.8941979522185,59.339587459962715,73.94766780360932,55.460750853242324,15.54280248684839,32.04778156996587,44.90674318507891,20.34129692832764,57.00621712099474,5.56996587030716,78.04878048780488,3.0426621160409497,85.2702056432329,0.5022556147350006,2.3855430686867423,44.3326281107485,0.0,4wj6cabu,85.94318076777121,47.90231758638584,B$_{\text{Sup}}$,4.607508532423209,4.0,37.892095357590804,43.32855093256794,40.428380186918396,35.42934705506914,408.0204778156997,61.55309192646372,76.82025028367326,55.460750853242324,15.542802486848398,32.1160409556314,45.00239120038259,20.580204778156997,57.67575322812052,5.5563139931740615,77.85748445719751,3.0,84.07460545193686,44.37400269112127,271.45057490139453,5.834528933524629
$x \nabla x$,all,0.017,28.05449127288196,31.516021042563207,29.68468468418624,21.9643904629081,6.14334470989761,400.8532423208191,44.32172965423199,59.783845278144,39.93174061433447,11.19081779053084,24.53924914675768,34.385461501673845,16.50170648464163,46.24581539933046,5.25597269624573,73.64897178383548,3.00682593856655,84.26590148254424,0.7488894934020655,3.528943484629904,28.18176507611108,0.0,4wj6cabu,75.6800295314094,31.049445848248304,B$_{\text{Sup}}$,3.6860068259385663,1.7000000000000002,24.663978494623574,35.102821616451294,28.971778172003788,21.978924933525278,507.84982935153585,49.4381670658592,65.5858930596585,40.61433447098976,11.38211382113821,24.77815699658703,34.720229555236735,16.723549488054605,46.8675274988044,5.174061433447099,72.5011956001913,2.9146757679180886,81.68340506934481,28.84720991231184,387.5872224760616,5.834528933524629
$a x \nabla x$,all,0.05,39.9274047186931,42.08512673362007,40.97788125677606,35.4384964023295,1.36518771331058,376.1092150170649,59.25690599806494,77.94368600607086,51.70648464163823,14.49067431850789,32.32081911262798,45.28933524629364,20.78498293515358,58.24964131994261,5.78839590443686,81.10951697752272,3.19283276450511,89.47871831659494,0.2631491593200228,2.3549148615214173,40.81510246879453,0.0,4wj6cabu,86.2569377010924,41.09458725837662,B$_{\text{Sup}}$,2.1843003412969284,5.0,39.651318730442384,42.41989478718297,40.988909426487446,34.663079907774105,381.740614334471,59.72212621584219,78.2849829343951,51.70648464163823,14.49067431850789,32.389078498293514,45.38498326159732,20.83617747440273,58.39311334289814,5.6689419795221845,79.43567670970828,3.0716723549488054,86.0832137733142,40.753629103926166,278.46309658602553,5.834528933524629
$a$,all,0.047,45.69128787878766,46.15016738402656,45.919581250986816,41.15713468459803,12.116040955631389,360.4095563139932,64.60223839451793,75.2559726955185,58.87372013651877,16.49928263988522,34.74402730375426,48.68483978957437,21.94539249146757,61.50167384026781,6.07508532423208,85.12673362027738,3.24061433447099,90.81779053084648,0.4691127958931979,2.019473827261435,50.29911014789222,0.0,r5u1sr8h,88.62534536855952,29.95991452179656,B$_{\text{Sup}}$,4.47098976109215,4.7,44.64682363394027,48.0631276901002,46.2920313214719,40.85709841502123,384.12969283276453,66.45257804348368,76.67804323020317,58.703071672354945,16.451458632233383,34.846416382252556,48.82831181252989,21.962457337883958,61.54949784791965,5.907849829351536,82.78335724533716,3.1160409556313997,87.32663797226208,50.17310318418235,241.3535803587189,5.834528933524629
$x \nabla x$,all,0.018,31.43955574540781,35.19846963175497,33.212996389393126,26.034687224394897,7.16723549488054,399.4880546075085,50.32606235221314,66.35381114838952,47.098976109215016,13.199426111908169,27.84982935153584,39.02439024390244,18.27645051194539,51.21951219512195,5.54266211604095,77.66618842659014,3.10921501706484,87.13534194165472,0.7380585947803392,3.296837395683454,35.41195743807627,0.0,r5u1sr8h,75.76737360172196,20.67916530364526,B$_{\text{Sup}}$,4.846416382252559,1.7999999999999998,28.61026163778448,40.26781444285012,33.45252284417053,26.80114999559091,502.2184300341297,56.071458878294244,72.32650739406701,48.29351535836178,13.534194165471067,28.293515358361777,39.64610234337638,18.327645051194537,51.36298421807748,5.392491467576792,75.56193208990913,2.986348122866894,83.69201339072214,36.01032523158162,363.98655724078657,5.834528933524629
