explainability_method,comprehensiveness,sufficiency
random,0.0025232926774099184,0.9432503441088433
laat,0.827890589903822,0.24524658234288585
attention_rollout,0.3507459989333139,0.3941069144292051
deeplift,0.7247066056620559,0.15117507114661136
gradient_x_input,0.7306332985616677,0.15353093320757813
integrated_gradient,0.6922345119936886,0.16156571471449543
grad_attention,0.8590456161742821,0.1872059065627348
atgrad_attention,0.7436263909354108,0.25279762704669445
