explainability_method,comprehensiveness,sufficiency
random,0.029346954961732057,0.9104767391663554
laat,0.8558824825291151,0.3133658746470542
attention_rollout,0.389443360776358,0.3881481372421371
deeplift,0.7470675443099497,0.1723484848522462
gradient_x_input,0.7522306090850217,0.17718398704620175
integrated_gradient,0.7146750379142144,0.1930858919536437
grad_attention,0.8748287997266548,0.2419365044168954
atgrad_attention,0.8011477444228956,0.30320339768325405
