explainability_method,comprehensiveness,sufficiency
random,0.03293789888861716,0.9409767616208798
laat,0.8707591473782139,0.17805372992682186
attention_rollout,0.38602382026631715,0.4179052899588385
deeplift,0.7656918684219688,0.13167009615581846
gradient_x_input,0.7634033610301767,0.12896344852394612
integrated_gradient,0.7546092122739944,0.12597272023893996
grad_attention,0.8769226943172022,0.14068411026484925
