explainability_method,comprehensiveness,sufficiency
random,0.037520278741741464,0.9220777151993285
laat,0.875516849690359,0.3222267550390439
attention_rollout,0.43455634214636274,0.4083369761600656
deeplift,0.7774074002037261,0.1864795090237502
gradient_x_input,0.7756347707899877,0.18174020608068087
integrated_gradient,0.7763904892794039,0.1712817411637287
grad_attention,0.8834661834150133,0.23863190451060445
atgrad_attention,0.8297256465261208,0.31945304407658615
