explainability_method,comprehensiveness,sufficiency
random,0.03361242420789381,0.9551467963845048
laat,0.8788030394749891,0.14912514614534195
attention_rollout,0.37172256451053787,0.39089667187794747
deeplift,0.7716162137165307,0.11351318000255248
gradient_x_input,0.7668695900968503,0.11209487486830784
integrated_gradient,0.7404645859413024,0.12150272494007752
grad_attention,0.8815953896915919,0.11816021042614831
atgrad_attention,0.8401496600868616,0.1533588678176654
