explainability_method,comprehensiveness,sufficiency
random,0.005044136878715343,0.9029214474720527
laat,0.6016304153431761,0.3290503935149889
attention_rollout,0.3598017159368759,0.3467751367927908
deeplift,0.7544762786794538,0.14921675460127518
gradient_x_input,0.7563228502649415,0.1445276891313763
integrated_gradient,0.7305605635943762,0.1461178644049045
grad_attention,0.7531874845284162,0.203175501997032
atgrad_attention,0.6441919717650885,0.30179137135967543
